Name	Hometown	Birthday	Juniors Team
Niclas Sidequest	Greenville, SC	May 26	Brampton
Odie Peshkhauri	Urbana, IL	July 30	Northeastern
Ruslan Namestnikov	Carson, CA	September 26	Gatineau
Burke Goregone	Marshfield, WI	September 2	Flint
Ben Murch	Plymouth, AR	March 6	Halifax
Landon Valicevic	Saint-Jérôme, QB	July 13	Niagara OHL
Iain Leier	Florence, SC	February 28	Boisbriad
Deryk Holzer	Chatham, ON	December 18	Kamloops
Tracy Sulliman	Burlington, NC	May 9	Brampton
Blast Poudrier	Milwaukee, WI	November 25	Moose Jaw
Raffi Clapper	Beavercreek, OH	October 9	Moose Jaw
Pascal Hurlburt	Chesapeake, VA	September 27	Northeastern
Eugene McCahill	Trinidad, CO	May 21	Ottawa
Maximus Salt	Brandon, MB	March 7	Denver
Roody Pallensus	Murrieta, CA	February 11	Brantford
Merve Provost	Kentwood, MI	April 10	St. Cloud State
Merve Pihlstrom	Anderson, IN	October 21	Everett
Jordy Tanner	Milton, ON	June 24	Gatineau
Enrico Leeman	Oorai, JPN	August 4	RPI
Trunk Terreri	Chesterfield, MO	June 4	U Minnesota
Vitali Adams	Long Beach, CA	March 3	Charlottetown
Anson Antropov	Tucson, AZ	January 22	Barrie
Tiffany Sbisa	Baraga, MI	January 23	Harvard
Bort Heyliger	Shreveport, LA	November 20	Prince George
Georges Martinsen	Wilmington, DE	December 24	Penticton
Jaccob Orr	Carlsbad, CA	September 13	Brampton
Paxton Affleck	Grande Prairie, AB	May 8	Lethbridge
Dustin Thought	Encinitas, CA	January 21	Kitchener
Bengt Sonnenberg	Niagara Falls, NY	July 2	Alaska Anchorage
Luke Fortin	Cerritos, CA	March 19	Clarkson
Jackie Pierpont	Houston, TX	March 3	Canisius
Frankie Ingoldsby	Quebec, QB	September 16	Lethbridge
Jean-Sebastien Souray	Friendswood, TX	October 11	Notre Dame
Violet Legris	South Bend, IN	October 26	St. Thomas
Leigh Pilgrim	Tampa, FL	September 12	Holy Cross
Gus Gaudet	Decatur, AL	November 10	New Hampshire
Regis Larochelle	Hoboken, NJ	July 17	Portland
Aldege Dome	Shakopee, MN	January 5	Canisius
Jordy Holan	Springfield, ME	October 10	Notre Dame
Hib Swanson	Orono, ME	May 3	Cape Brenton
Pheonix Hargett	Missouri City, TX	May 5	Saginaw
Lex Mors	Shoreline, WA	September 17	Sherbrooke
Sergei Sill	Burlington, VT	May 10	Bemidji State
Joffre Cervenka	Ankeny, IA	July 22	St.Johns, NL
Murray Blanchard	Joliet, IL	July 24	Oshawa
Omar Denis	Ruston, LA	May 30	Medicine Hat
Hudson Raconteur	Chicago, IL	March 17	Rouyn-Noranda
Oso Alfredsson	Worcester, MA	March 24	Cape Brenton
Cy Prajsler	Plymouth, SD	September 19	Brown
Chad Nattinen	Longmont, CO	April 28	Niagara NCAA
